ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts,total_count,Month_num,Day_num
1704093,"December 13, 2016 10:00:00 AM",2016,December,13,Tuesday,10,21,Bourke St-Russell St (West),448,44224,12,2
2383697,"September 19, 2018 12:00:00 AM",2018,September,19,Wednesday,0,46,Pelham St (South),12,1722,9,3
610723,"April 27, 2013 03:00:00 AM",2013,April,27,Saturday,3,12,New Quay,3,21888,4,6
832974,"April 27, 2014 01:00:00 AM",2014,April,27,Sunday,1,2,Bourke Street Mall (South),151,123190,4,7
726460,"December 05, 2013 03:00:00 AM",2013,December,5,Thursday,3,16,Australia on Collins,7,34427,12,4
4303253,"May 04, 2022 12:00:00 AM",2022,May,4,Wednesday,0,42,Grattan St-Swanston St (West),31,13800,5,3
1860467,"June 01, 2017 03:00:00 PM",2017,June,1,Thursday,15,43,Monash Rd-Swanston St (West),323,10897,6,4
1864995,"June 06, 2017 03:00:00 PM",2017,June,6,Tuesday,15,12,New Quay,97,21888,6,2
2872516,"October 21, 2019 02:00:00 AM",2019,October,21,Monday,2,4,Town Hall (West),33,167769,10,1
843275,"May 11, 2014 08:00:00 AM",2014,May,11,Sunday,8,5,Princes Bridge,1135,118831,5,7
2117716,"February 03, 2018 10:00:00 PM",2018,February,3,Saturday,22,29,St Kilda Rd-Alexandra Gardens,334,30690,2,6
3134248,"May 02, 2020 08:00:00 AM",2020,May,2,Saturday,8,7,Birrarung Marr,96,35973,5,6
2321885,"July 30, 2018 04:00:00 PM",2018,July,30,Monday,16,49,QVM-Therry St (South),115,7337,7,1
2946490,"December 16, 2019 06:00:00 PM",2019,December,16,Monday,18,51,QVM-Franklin St (North),173,4985,12,1
4407588,"July 27, 2022 07:00:00 AM",2022,July,27,Wednesday,7,62,La Trobe St (North),67,2084,7,3
2448299,"November 10, 2018 08:00:00 PM",2018,November,10,Saturday,20,50,Faraday St-Lygon St (West),634,10094,11,6
1727601,"January 07, 2017 08:00:00 AM",2017,January,7,Saturday,8,34,Flinders St-Spark La,58,9063,1,6
4083497,"January 10, 2022 04:00:00 PM",2022,January,10,Monday,16,18,Collins Place (North),156,43097,1,1
2117791,"February 04, 2018 12:00:00 AM",2018,February,4,Sunday,0,6,Flinders Street Station Underpass,1127,159391,2,7
655949,"August 14, 2013 06:00:00 PM",2013,August,14,Wednesday,18,4,Town Hall (West),2326,167769,8,3
